Timestamp,Gender,age,marital_status,student _yrs,ongoing_yr,Department,mnt_ fam_ incm,afmi,aware_Bal_diet,fbl, weight,height, hhac,avg_slp_hours,nat_fruit_juice,fries, green_salad,carrots, vegetables,sft_drink,smoke,cnfj,cf,cgs,ccarrots,cveg,csd,csmk,cslppat 
2021/08/10 9:52:21 pm GMT+6,1,21-25,Single,Undergraduate,3rd year,Business and Economics,More than 1 Lakh,Yes. (It got reduced),Yes,Yes,61-70 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (regularly),4 - 6 hours,None (I didn't drink fruit juice at all),None (I didn't eat potatoes),1-3 times a week,1-3 times a week,More than 10 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,None (I don't eat potatoes),1-3 times a week,1-3 times a week,More than 10 times a week,None (I don't like them),None (I don't smoke),It did not have any impact at all
2021/08/10 9:54:13 pm GMT+6,0,15-20,Single,Undergraduate,1st year,Class 8 student,"80,000 - 1 Lakh",No (Stayed more or less the same / increased),No,No,51-60 kg,5 ft. - 5 ft 3 inch,No,6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,1-3 times a week,1-3 times a week,4 - 6 times a week,7 - 10 times a week,None (I didn't smoke),1 - 3 times a week,4 - 6 times a week,4 - 6 times a week,4 - 6 times a week,4 - 6 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/10 9:54:49 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"Below 40,000",Yes. (It got reduced),No,No,More than 80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,4 - 6 times a week,1-3 times a week,None (I didn't eat carrots),More than 10 times a week,1-3 times a week,More than 14 times a week,None (I don't drink fruit juice at all),4 - 6 times a week,1-3 times a week,None (I don't eat carrots),More than 10 times a week,1-3 times a week,More than 14 times a week,I sleep more
2021/08/10 9:57:23 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Business and Economics,"40,000 - 60,000",Yes. (It got reduced),Yes,No,71-80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,4 - 6 times a week,4 - 6 times a week,1-3 times a week,7 - 10 times a week,4 - 6 times a week,None (I didn't smoke),1 - 3 times a week,7 - 10 times a week,1-3 times a week,1-3 times a week,7 - 10 times a week,4 - 6 times a week,None (I don't smoke),I sleep more
2021/08/10 9:58:02 pm GMT+6,1,15-20,Single,Undergraduate,4th year and above,SSC,"Below 40,000",Yes. (It got reduced),Yes,Yes,Less than 50 kg,5 ft. - 5 ft 3 inch,Yes (regularly),6 - 8 hours,1 - 3 times a week,1-3 times a week,None (I didn't eat green salad),None (I didn't eat carrots),7 - 10 times a week,1-3 times a week,None (I didn't smoke),1 - 3 times a week,4 - 6 times a week,None (I don't eat green salad),None (I don't eat carrots),7 - 10 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/10 10:00:11 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Business and Economics,"Below 40,000",Yes. (It got reduced),Yes,Yes,61-70 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (regularly),6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,None (I didn't eat green salad),None (I didn't eat carrots),4 - 6 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,None (I don't eat green salad),None (I don't eat carrots),4 - 6 times a week,None (I don't like them),None (I don't smoke),It did not have any impact at all
2021/08/10 10:19:14 pm GMT+6,1,21-25,Single,Undergraduate,3rd year,Business and Economics,"Below 40,000",Yes. (It got reduced),No,No,61-70 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (regularly),4 - 6 hours,None (I didn't drink fruit juice at all),1-3 times a week,None (I didn't eat green salad),1-3 times a week,4 - 6 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),None (I don't eat potatoes),None (I don't eat green salad),1-3 times a week,4 - 6 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/10 11:10:51 pm GMT+6,0,21-25,Single,Was a student,Not a student now,Engineering and Physical Sciences,"40,000 - 60,000",Yes. (It got reduced),Yes,No,71-80 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),4 - 6 hours,1 - 3 times a week,1-3 times a week,1-3 times a week,None (I didn't eat carrots),4 - 6 times a week,7 - 10 times a week,None (I didn't smoke),1 - 3 times a week,None (I don't eat potatoes),1-3 times a week,None (I don't eat carrots),4 - 6 times a week,None (I don't like them),None (I don't smoke),I sleep less
2021/08/10 11:11:08 pm GMT+6,0,21-25,Single,Was a student,Not a student now,Business and Economics,"Below 40,000",No (Stayed more or less the same / increased),Yes,Yes,More than 80 kg,6 ft. or above,Yes (sometimes),more than 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I didn't eat carrots),More than 10 times a week,1-3 times a week,More than 14 times a week,None (I don't drink fruit juice at all),1-3 times a week,None (I don't eat green salad),None (I don't eat carrots),More than 10 times a week,None (I don't like them),6 - 14 times a week,I sleep more
2021/08/10 11:21:42 pm GMT+6,1,21-25,Prefer not to say,Postgraduate student,4th year and above,Health and life sciences,"Below 40,000",Yes. (It got reduced),Yes,Yes,51-60 kg,5 ft. - 5 ft 3 inch,No,6 - 8 hours,1 - 3 times a week,1-3 times a week,None (I didn't eat green salad),1-3 times a week,1-3 times a week,1-3 times a week,None (I didn't smoke),4 - 6 times a week,1-3 times a week,4 - 6 times a week,7 - 10 times a week,4 - 6 times a week,None (I don't like them),None (I don't smoke),I sleep less
2021/08/11 12:33:31 am GMT+6,1,21-25,Single,Undergraduate,3rd year,Engineering and Physical Sciences,"Below 40,000",Yes. (It got reduced),Yes,Yes,51-60 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I didn't smoke),1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I don't smoke),I sleep less
2021/08/11 12:39:12 am GMT+6,0,21-25,Single,Was a student,Not a student now,Business and Economics,"Below 40,000",Yes. (It got reduced),Yes,Yes,61-70 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),Less than 4 hours,None (I didn't drink fruit juice at all),4 - 6 times a week,None (I didn't eat green salad),None (I didn't eat carrots),4 - 6 times a week,More than 10 times a week,More than 14 times a week,None (I don't drink fruit juice at all),4 - 6 times a week,None (I don't eat green salad),None (I don't eat carrots),4 - 6 times a week,More than 10 times a week,More than 14 times a week,I sleep less
2021/08/11 1:44:01 am GMT+6,0,21-25,Single,Undergraduate,3rd year,Engineering and Physical Sciences,"60,000 - 80,000",No (Stayed more or less the same / increased),Yes,Yes,71-80 kg,6 ft. or above,Yes (regularly),6 - 8 hours,1 - 3 times a week,None (I didn't eat potatoes),4 - 6 times a week,4 - 6 times a week,4 - 6 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,None (I don't eat potatoes),4 - 6 times a week,4 - 6 times a week,1-3 times a week,None (I don't like them),None (I don't smoke),It did not have any impact at all
2021/08/11 2:32:24 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,More than 1 Lakh,No (Stayed more or less the same / increased),Yes,Yes,51-60 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,4 - 6 times a week,1-3 times a week,1-3 times a week,7 - 10 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,4 - 6 times a week,1-3 times a week,1-3 times a week,7 - 10 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/11 9:34:03 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"60,000 - 80,000",No (Stayed more or less the same / increased),Yes,Yes,61-70 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (regularly),6 - 8 hours,1 - 3 times a week,More than 10 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I don't like them),None (I don't smoke),It did not have any impact at all
2021/08/11 10:04:24 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,More than 1 Lakh,Yes. (It got reduced),Yes,No,71-80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),6 - 8 hours,None (I didn't drink fruit juice at all),More than 10 times a week,4 - 6 times a week,1-3 times a week,4 - 6 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,More than 10 times a week,4 - 6 times a week,None (I don't eat carrots),1-3 times a week,More than 10 times a week,None (I don't smoke),I sleep more
2021/08/11 11:19:17 pm GMT+6,2,21-25,Prefer not to say,Undergraduate,4th year and above,Engineering and Physical Sciences,"60,000 - 80,000",Yes. (It got reduced),No,No,71-80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),6 - 8 hours,None (I didn't drink fruit juice at all),More than 10 times a week,None (I didn't eat green salad),None (I didn't eat carrots),More than 10 times a week,7 - 10 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),More than 10 times a week,1-3 times a week,1-3 times a week,More than 10 times a week,4 - 6 times a week,None (I don't smoke),I sleep more
2021/08/12 1:03:27 am GMT+6,1,21-25,Single,Undergraduate,3rd year,Health and life sciences,More than 1 Lakh,Yes. (It got reduced),Yes,Yes,61-70 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),more than 8 hours,None (I didn't drink fruit juice at all),4 - 6 times a week,4 - 6 times a week,More than 10 times a week,More than 10 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),4 - 6 times a week,More than 10 times a week,More than 10 times a week,More than 10 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 1:09:29 am GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"Below 40,000",No (Stayed more or less the same / increased),Yes,Yes,71-80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (regularly),6 - 8 hours,None (I didn't drink fruit juice at all),7 - 10 times a week,None (I didn't eat green salad),None (I didn't eat carrots),7 - 10 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),7 - 10 times a week,None (I don't eat green salad),None (I don't eat carrots),7 - 10 times a week,1-3 times a week,None (I don't smoke),I sleep less
2021/08/12 1:12:06 am GMT+6,0,21-25,Single,Was a student,Not a student now,Engineering and Physical Sciences,"80,000 - 1 Lakh",No (Stayed more or less the same / increased),Yes,No,71-80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (regularly),6 - 8 hours,1 - 3 times a week,1-3 times a week,None (I didn't eat green salad),None (I didn't eat carrots),1-3 times a week,None (I didn't like them),None (I didn't smoke),4 - 6 times a week,1-3 times a week,None (I don't eat green salad),None (I don't eat carrots),1-3 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 1:14:57 am GMT+6,1,21-25,Single,Undergraduate,1st year,Business and Economics,More than 1 Lakh,Yes. (It got reduced),No,No,51-60 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (regularly),Less than 4 hours,1 - 3 times a week,1-3 times a week,More than 10 times a week,More than 10 times a week,More than 10 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,1-3 times a week,More than 10 times a week,More than 10 times a week,More than 10 times a week,More than 10 times a week,None (I don't smoke),I sleep less
2021/08/12 1:15:41 am GMT+6,1,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"80,000 - 1 Lakh",Yes. (It got reduced),Yes,No,61-70 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,None (I didn't drink fruit juice at all),None (I didn't eat potatoes),None (I didn't eat green salad),None (I didn't eat carrots),None (I didn't eat them),1-3 times a week,None (I didn't smoke),1 - 3 times a week,None (I don't eat potatoes),None (I don't eat green salad),None (I don't eat carrots),None (I don't eat them),4 - 6 times a week,None (I don't smoke),It did not have any impact at all
2021/08/12 1:17:34 am GMT+6,1,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"60,000 - 80,000",No (Stayed more or less the same / increased),Yes,No,61-70 kg,5 ft. - 5 ft 3 inch,No,4 - 6 hours,None (I didn't drink fruit juice at all),None (I didn't eat potatoes),None (I didn't eat green salad),None (I didn't eat carrots),None (I didn't eat them),None (I didn't like them),None (I didn't smoke),1 - 3 times a week,None (I don't eat potatoes),None (I don't eat green salad),None (I don't eat carrots),None (I don't eat them),1-3 times a week,None (I don't smoke),It did not have any impact at all
2021/08/12 1:37:01 am GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"40,000 - 60,000",Yes. (It got reduced),Yes,No,More than 80 kg,6 ft. or above,Yes (regularly),6 - 8 hours,1 - 3 times a week,4 - 6 times a week,More than 10 times a week,4 - 6 times a week,More than 10 times a week,None (I didn't like them),None (I didn't smoke),4 - 6 times a week,4 - 6 times a week,More than 10 times a week,More than 10 times a week,More than 10 times a week,None (I don't like them),None (I don't smoke),I sleep less
2021/08/12 2:00:31 am GMT+6,0,21-25,Prefer not to say,Postgraduate student,4th year and above,Health and life sciences,"80,000 - 1 Lakh",No (Stayed more or less the same / increased),No,No,51-60 kg,5 ft. 4 inch - 5 ft. 7 inch,No,Less than 4 hours,7 - 10 times a week,4 - 6 times a week,7 - 10 times a week,4 - 6 times a week,4 - 6 times a week,7 - 10 times a week,2 - 5 times a week,1 - 3 times a week,4 - 6 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,4 - 6 times a week,2 - 5 times a week,I sleep more
2021/08/12 2:03:37 am GMT+6,0,21-25,Single,Undergraduate,2nd year,Engineering and Physical Sciences,"80,000 - 1 Lakh",Yes. (It got reduced),No,No,61-70 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),4 - 6 hours,1 - 3 times a week,7 - 10 times a week,1-3 times a week,None (I didn't eat carrots),4 - 6 times a week,1-3 times a week,None (I didn't smoke),1 - 3 times a week,More than 10 times a week,7 - 10 times a week,None (I don't eat carrots),7 - 10 times a week,None (I don't like them),None (I don't smoke),I sleep less
2021/08/12 9:01:04 am GMT+6,0,21-25,Single,Undergraduate,3rd year,Engineering and Physical Sciences,"Below 40,000",Yes. (It got reduced),Yes,No,71-80 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,None (I didn't eat green salad),1-3 times a week,4 - 6 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,None (I don't eat green salad),None (I don't eat carrots),4 - 6 times a week,None (I don't like them),None (I don't smoke),It did not have any impact at all
2021/08/12 9:41:58 am GMT+6,0,21-25,Single,Undergraduate,3rd year,Engineering and Physical Sciences,"60,000 - 80,000",Yes. (It got reduced),Yes,No,61-70 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,None (I didn't eat green salad),None (I didn't eat carrots),None (I didn't eat them),1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),None (I don't eat potatoes),None (I don't eat green salad),None (I don't eat carrots),None (I don't eat them),1-3 times a week,None (I don't smoke),I sleep more
2021/08/12 12:23:13 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,"Bachelor of Medicine,Bachelor of Surgery","Below 40,000",Yes. (It got reduced),Yes,No,51-60 kg,5 ft. - 5 ft 3 inch,Yes (regularly),6 - 8 hours,1 - 3 times a week,4 - 6 times a week,1-3 times a week,None (I didn't eat carrots),7 - 10 times a week,4 - 6 times a week,None (I didn't smoke),1 - 3 times a week,4 - 6 times a week,1-3 times a week,None (I don't eat carrots),7 - 10 times a week,1-3 times a week,None (I don't smoke),It did not have any impact at all
2021/08/12 12:41:34 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Health and life sciences,"40,000 - 60,000",No (Stayed more or less the same / increased),Yes,Yes,61-70 kg,5 ft. - 5 ft 3 inch,Yes (regularly),4 - 6 hours,4 - 6 times a week,None (I didn't eat potatoes),1-3 times a week,None (I didn't eat carrots),More than 10 times a week,1-3 times a week,None (I didn't smoke),4 - 6 times a week,None (I don't eat potatoes),4 - 6 times a week,None (I don't eat carrots),More than 10 times a week,None (I don't like them),None (I don't smoke),It did not have any impact at all
2021/08/12 12:47:11 pm GMT+6,1,21-25,Single,Undergraduate,3rd year,Engineering and Physical Sciences,"80,000 - 1 Lakh",No (Stayed more or less the same / increased),Yes,Yes,61-70 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (regularly),4 - 6 hours,1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I don't like them),None (I don't smoke),It did not have any impact at all
2021/08/12 1:03:37 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Health and life sciences,"Below 40,000",No (Stayed more or less the same / increased),Yes,Yes,61-70 kg,5 ft. - 5 ft 3 inch,Yes (regularly),4 - 6 hours,None (I didn't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I didn't eat carrots),4 - 6 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I don't eat carrots),1-3 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/12 1:05:46 pm GMT+6,0,26-30,Single,Undergraduate,4th year and above,Health and life sciences,"80,000 - 1 Lakh",No (Stayed more or less the same / increased),Yes,Yes,71-80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),4 - 6 hours,None (I didn't drink fruit juice at all),None (I didn't eat potatoes),1-3 times a week,None (I didn't eat carrots),1-3 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),None (I don't eat potatoes),1-3 times a week,None (I don't eat carrots),1-3 times a week,1-3 times a week,None (I don't smoke),I sleep less
2021/08/12 1:06:15 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,MBBS,"Below 40,000",Yes. (It got reduced),Yes,No,51-60 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,1-3 times a week,1-3 times a week,None (I didn't eat carrots),1-3 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,4 - 6 times a week,None (I don't eat green salad),None (I don't eat carrots),1-3 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 1:07:49 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Health and life sciences,"60,000 - 80,000",Yes. (It got reduced),Yes,Yes,51-60 kg,5 ft. - 5 ft 3 inch,Yes (regularly),6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I didn't eat carrots),4 - 6 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I don't eat carrots),4 - 6 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 1:08:23 pm GMT+6,0,21-25,Single,Undergraduate,3rd year,Medical,"Below 40,000",Yes. (It got reduced),Yes,Yes,61-70 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,None (I didn't eat green salad),1-3 times a week,7 - 10 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),4 - 6 times a week,None (I don't eat green salad),1-3 times a week,7 - 10 times a week,1-3 times a week,None (I don't smoke),I sleep less
2021/08/12 1:09:03 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Medical student   ,"Below 40,000",No (Stayed more or less the same / increased),Yes,No,51-60 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I didn't smoke),1 - 3 times a week,4 - 6 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I don't smoke),It did not have any impact at all
2021/08/12 1:09:11 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Health and life sciences,"Below 40,000",Yes. (It got reduced),Yes,No,51-60 kg,5 ft. - 5 ft 3 inch,Yes (regularly),6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,None (I didn't eat green salad),1-3 times a week,1-3 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,None (I don't eat green salad),1-3 times a week,1-3 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 1:13:26 pm GMT+6,0,21-25,Single,Undergraduate,2nd year,MBBS,"80,000 - 1 Lakh",No (Stayed more or less the same / increased),Yes,Yes,61-70 kg,5 ft. - 5 ft 3 inch,Yes (regularly),6 - 8 hours,7 - 10 times a week,7 - 10 times a week,1-3 times a week,7 - 10 times a week,4 - 6 times a week,4 - 6 times a week,2 - 5 times a week,1 - 3 times a week,7 - 10 times a week,7 - 10 times a week,4 - 6 times a week,7 - 10 times a week,4 - 6 times a week,2 - 5 times a week,I sleep more
2021/08/12 1:15:06 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Health and life sciences,"40,000 - 60,000",Yes. (It got reduced),Yes,No,Less than 50 kg,5 ft. - 5 ft 3 inch,No,more than 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,None (I didn't eat green salad),1-3 times a week,None (I didn't eat them),1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,None (I don't eat green salad),1-3 times a week,None (I don't eat them),None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 1:22:05 pm GMT+6,0,21-25,Single,Was a student,4th year and above,Health and life sciences,"40,000 - 60,000",Yes. (It got reduced),Yes,Yes,61-70 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),6 - 8 hours,More than 10 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,7 - 10 times a week,None (I didn't smoke),1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,2 - 5 times a week,It did not have any impact at all
